Tool,Radius_Manual,Radius_Model,F1_Score
German Sentiment Classification with BERT,0.15,0.15,0.592045006629161
German Sentiment Classification with BERT,0.15,0.16,0.592045006629161
German Sentiment Classification with BERT,0.15,0.17,0.5840668470778142
German Sentiment Classification with BERT,0.15,0.18000000000000002,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.19000000000000003,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.20000000000000004,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.21000000000000005,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.22000000000000006,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.23000000000000007,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.24000000000000007,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.2500000000000001,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.2600000000000001,0.5839882191354091
German Sentiment Classification with BERT,0.15,0.27000000000000013,0.5840545114414408
German Sentiment Classification with BERT,0.15,0.28000000000000014,0.5840545114414408
German Sentiment Classification with BERT,0.15,0.29000000000000015,0.5840545114414408
German Sentiment Classification with BERT,0.15,0.30000000000000016,0.5840545114414408
German Sentiment Classification with BERT,0.15,0.31000000000000016,0.5840545114414408
German Sentiment Classification with BERT,0.15,0.3200000000000002,0.5840545114414408
German Sentiment Classification with BERT,0.15,0.3300000000000002,0.5743136191757093
German Sentiment Classification with BERT,0.15,0.3400000000000002,0.5664704233249229
German Sentiment Classification with BERT,0.15,0.3500000000000002,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.3600000000000002,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.3700000000000002,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.3800000000000002,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.39000000000000024,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.40000000000000024,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.41000000000000025,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.42000000000000026,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.43000000000000027,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.4400000000000003,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.4500000000000003,0.5683177021589025
German Sentiment Classification with BERT,0.15,0.4600000000000003,0.5687117035919148
German Sentiment Classification with BERT,0.15,0.4700000000000003,0.5687117035919148
German Sentiment Classification with BERT,0.15,0.4800000000000003,0.5687117035919148
German Sentiment Classification with BERT,0.15,0.4900000000000003,0.5687117035919148
German Sentiment Classification with BERT,0.16,0.15,0.5840668470778142
German Sentiment Classification with BERT,0.16,0.16,0.5840668470778142
German Sentiment Classification with BERT,0.16,0.17,0.5760517111989012
German Sentiment Classification with BERT,0.16,0.18000000000000002,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.19000000000000003,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.20000000000000004,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.21000000000000005,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.22000000000000006,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.23000000000000007,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.24000000000000007,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.2500000000000001,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.2600000000000001,0.5760223829273846
German Sentiment Classification with BERT,0.16,0.27000000000000013,0.5761333884525285
German Sentiment Classification with BERT,0.16,0.28000000000000014,0.5761333884525285
German Sentiment Classification with BERT,0.16,0.29000000000000015,0.5761333884525285
German Sentiment Classification with BERT,0.16,0.30000000000000016,0.5761333884525285
German Sentiment Classification with BERT,0.16,0.31000000000000016,0.5761333884525285
German Sentiment Classification with BERT,0.16,0.3200000000000002,0.5761333884525285
German Sentiment Classification with BERT,0.16,0.3300000000000002,0.5664704233249229
German Sentiment Classification with BERT,0.16,0.3400000000000002,0.5585634626524018
German Sentiment Classification with BERT,0.16,0.3500000000000002,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.3600000000000002,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.3700000000000002,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.3800000000000002,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.39000000000000024,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.40000000000000024,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.41000000000000025,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.42000000000000026,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.43000000000000027,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.4400000000000003,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.4500000000000003,0.5604812509170177
German Sentiment Classification with BERT,0.16,0.4600000000000003,0.5609022556390978
German Sentiment Classification with BERT,0.16,0.4700000000000003,0.5609022556390978
German Sentiment Classification with BERT,0.16,0.4800000000000003,0.5609022556390978
German Sentiment Classification with BERT,0.16,0.4900000000000003,0.5609022556390978
German Sentiment Classification with BERT,0.17,0.15,0.5840668470778142
German Sentiment Classification with BERT,0.17,0.16,0.5840668470778142
German Sentiment Classification with BERT,0.17,0.17,0.5760517111989012
German Sentiment Classification with BERT,0.17,0.18000000000000002,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.19000000000000003,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.20000000000000004,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.21000000000000005,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.22000000000000006,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.23000000000000007,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.24000000000000007,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.2500000000000001,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.2600000000000001,0.5760223829273846
German Sentiment Classification with BERT,0.17,0.27000000000000013,0.5761333884525285
German Sentiment Classification with BERT,0.17,0.28000000000000014,0.5761333884525285
German Sentiment Classification with BERT,0.17,0.29000000000000015,0.5761333884525285
German Sentiment Classification with BERT,0.17,0.30000000000000016,0.5761333884525285
German Sentiment Classification with BERT,0.17,0.31000000000000016,0.5761333884525285
German Sentiment Classification with BERT,0.17,0.3200000000000002,0.5761333884525285
German Sentiment Classification with BERT,0.17,0.3300000000000002,0.5664704233249229
German Sentiment Classification with BERT,0.17,0.3400000000000002,0.5585634626524018
German Sentiment Classification with BERT,0.17,0.3500000000000002,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.3600000000000002,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.3700000000000002,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.3800000000000002,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.39000000000000024,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.40000000000000024,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.41000000000000025,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.42000000000000026,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.43000000000000027,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.4400000000000003,0.5604812509170177
German Sentiment Classification with BERT,0.17,0.4500000000000003,0.5604812509170177
